customer_id,recency,frequency,monetary,segment
1195,2,1,1219.67,3
1196,255,2,5634.82,2
1197,26,1,4518.88,3
1198,178,1,973.3,1
1200,64,1,1897.32,0
1202,294,1,1248.59,0
1203,238,2,3619.66,2
1204,41,1,969.32,3
1206,319,1,3324.51,0
1208,179,1,1136.65,1
1209,310,1,816.6,1
1212,32,3,2666.46,2
1213,109,1,744.78,1
1214,323,1,3055.83,0
1215,53,1,1328.42,3
1218,69,2,3526.43,2
1220,209,1,1765.86,0
1222,344,1,898.63,1
1223,63,1,522.78,1
1225,128,1,268.76,1
1226,48,1,1203.09,3
1227,19,1,4039.92,3
1228,301,1,829.75,1
1229,358,1,651.56,1
1231,77,1,741.57,1
1234,224,1,377.35,1
1240,98,1,1882.12,0
1241,125,2,3617.15,2
1243,147,1,3898.5,0
1244,51,2,3078.65,2
1252,48,2,7790.94,2
1253,251,1,2191.33,0
1262,296,1,797.16,1
1264,98,1,1712.22,0
1268,15,1,1455.21,3
1269,183,1,1787.02,0
1270,99,2,3845.93,2
1271,137,1,1130.35,1
1274,273,1,2065.7,0
1275,145,2,7788.92,2
1277,294,1,414.36,1
1278,83,2,4367.72,2
1279,301,1,3180.17,0
1282,40,1,281.46,1
1283,51,1,3166.32,0
1284,153,1,6649.04,0
1285,363,1,2942.34,0
1290,44,2,1015.6500000000001,2
1291,359,1,2457.68,0
1292,289,2,3075.91,2
1295,175,1,267.34,1
1298,278,1,285.16,1
1302,42,1,821.62,3
1303,317,1,989.88,1
1304,81,1,529.27,1
1307,326,1,553.52,1
1308,320,1,566.61,1
1312,303,2,6037.98,2
1315,173,1,1937.57,0
1316,34,5,9432.31,2
1317,30,4,8119.4400000000005,2
1318,149,2,1692.53,2
1319,110,2,3602.98,2
1322,126,2,2239.44,2
1323,212,1,3132.29,0
1324,90,1,3519.68,0
1327,1,2,4069.45,3
1329,98,1,443.01,1
1331,133,1,4930.51,0
1332,271,1,3016.32,0
1334,15,5,12203.21,2
1335,10,3,3522.92,2
1336,109,1,3797.19,0
1337,230,1,783.06,1
1339,300,1,530.31,1
1343,23,1,3053.36,3
1345,164,1,256.67,1
1347,266,1,3357.67,0
1348,208,1,4789.77,0
1349,180,1,307.29,1
1350,293,3,1480.29,2
1351,89,1,4652.64,0
1352,246,2,1316.79,2
1356,106,1,2397.1,0
1357,301,1,1199.55,0
1360,139,3,3696.46,2
1361,3,3,4596.29,2
1362,330,1,3356.54,0
1363,151,2,181.93,1
1365,57,2,3247.63,2
1366,84,1,4299.17,0
1368,123,2,4747.9400000000005,2
1370,56,1,1920.92,0
1372,231,2,7627.08,2
1378,31,3,2604.1,2
1379,223,1,863.94,1
1380,157,1,700.35,1
1381,217,1,566.3,1
1382,107,2,4061.77,2
1385,346,1,3694.52,0
1386,44,2,3064.78,2
1387,67,2,1111.73,2
1388,203,1,3964.28,0
1395,218,2,2703.44,2
1397,155,1,2856.24,0
1398,364,1,663.37,1
1400,124,1,527.51,1
1403,66,2,2038.8500000000001,2
1404,32,2,1646.99,2
1405,309,1,1296.62,0
1410,214,1,162.49,1
1412,4,1,698.61,3
1418,55,1,829.86,1
1419,100,2,5203.04,2
1420,287,1,4219.62,0
1422,120,1,2685.78,0
1423,361,1,1066.1,1
1424,23,1,513.7,3
1425,276,1,518.32,1
1427,34,1,2279.68,3
1430,89,1,3753.0,0
1433,242,2,8307.94,2
1434,139,1,2580.84,0
1436,322,1,3005.46,0
1437,60,2,1919.23,2
1438,323,1,313.88,1
1440,167,1,5960.25,0
1441,277,1,503.92,1
1445,83,2,2774.91,2
1447,19,2,2317.7200000000003,3
1450,311,1,2384.76,0
1451,95,1,471.13,1
1454,50,1,2611.03,3
1455,278,1,254.85,1
1456,261,2,2899.21,2
1458,23,2,2026.27,2
1461,6,1,579.51,3
1462,53,2,1191.03,2
1463,72,1,4949.6,0
1464,291,2,1238.58,2
1466,171,1,1417.23,0
1467,137,2,1121.45,2
1471,47,1,1161.18,3
1472,259,1,220.52,1
1473,143,1,1213.67,0
1477,179,1,2809.28,0
1478,46,1,656.62,3
1479,158,1,2925.48,0
1483,22,2,4226.91,2
1484,100,2,4044.9100000000003,2
1486,246,1,2089.06,0
1487,69,1,5778.76,0
1489,131,2,730.27,2
1490,189,1,1211.39,0
1492,15,2,2307.77,3
1493,307,1,416.59,1
1496,10,2,2929.2999999999997,3
1497,214,1,5020.5,0
1498,25,1,5302.37,3
1499,1,1,131.96,3
1501,144,1,6016.54,0
1503,76,1,4151.74,0
1505,172,1,574.4,1
1506,93,4,11867.1,2
1509,12,1,963.2,3
1510,40,1,4993.48,3
1513,187,1,165.17,1
1515,15,3,1602.91,2
1517,143,1,2029.92,0
1518,8,3,6890.76,2
1521,245,1,334.46,1
1523,244,1,5576.1,0
1524,233,1,972.99,1
1527,88,1,476.82,1
1529,173,2,4588.91,2
1530,8,2,1126.92,3
1531,4,1,2598.35,3
1532,189,1,3212.5,0
1533,249,1,1858.18,0
1538,52,1,1661.69,3
1539,27,2,4421.79,2
1543,60,1,4321.89,0
1545,26,2,1395.81,3
1548,123,1,2348.55,0
1550,5,2,7921.13,3
1551,278,1,641.61,1
1555,158,1,2601.76,0
1557,348,1,1890.24,0
1560,21,1,1852.44,3
1564,188,1,1536.96,0
1566,109,1,589.15,1
1569,290,1,2879.92,0
1570,282,1,3623.82,0
1571,320,1,2562.31,0
1577,210,1,1887.37,0
1581,302,1,956.08,1
1585,299,1,4847.17,0
1589,348,1,1146.6,1
1595,102,1,253.56,1
1599,228,2,3167.7400000000002,2
1600,35,1,970.88,3
1601,135,1,1166.22,0
1604,253,1,425.65,1
1607,299,1,766.55,1
1608,79,4,8634.02,2
1612,45,1,2539.1,3
1613,83,2,2440.56,2
1615,275,1,2330.22,0
1618,33,2,1529.82,2
1620,356,1,4390.95,0
1622,214,1,1951.13,0
1624,154,2,1483.5700000000002,2
1627,140,1,1327.0,0
1629,137,1,432.01,1
1631,105,1,2336.52,0
1632,15,2,1683.5900000000001,3
1635,201,2,1696.4,2
1640,235,1,765.98,1
1641,40,1,1094.88,3
1644,191,2,1552.99,2
1645,225,1,3067.74,0
1646,250,2,5386.24,2
1647,112,2,3613.1000000000004,2
1649,237,1,1929.76,0
1657,201,2,1068.19,2
1658,102,1,1048.12,1
1659,44,1,809.91,3
1661,134,3,10152.52,2
1667,58,1,3170.98,0
1668,68,1,722.8,1
1672,248,1,807.22,1
1673,212,1,1104.84,1
1675,37,2,5207.360000000001,2
1676,213,2,3942.9700000000003,2
1681,309,1,407.71,1
1682,99,1,2536.28,0
1683,251,1,1929.0,0
1687,178,1,1318.78,0
1688,338,1,1141.31,1
1690,39,2,3004.06,2
1694,233,1,3849.17,0
1695,67,1,725.39,1
1697,334,1,1989.62,0
1698,246,2,4020.0,2
1699,203,1,1136.57,1
1702,287,2,805.1700000000001,1
1703,313,1,2702.64,0
1706,114,1,1735.8,0
1708,16,2,1565.29,3
1709,149,1,1876.09,0
1710,166,1,6703.32,0
1711,103,3,1730.48,2
1712,18,1,3794.86,3
1713,257,1,1641.2,0
1719,3,2,4606.89,3
1720,353,1,2791.04,0
1722,34,2,2146.9700000000003,2
1723,130,1,365.57,1
1728,135,1,4775.0,0
1730,15,1,681.53,3
1731,74,1,1130.1,1
1732,82,1,415.91,1
1733,364,1,688.34,1
1736,319,1,2510.82,0
1738,12,3,13800.96,2
1742,4,1,1286.8,3
1745,163,2,1012.98,2
1746,63,1,288.04,1
1747,89,3,5489.889999999999,2
1749,345,1,882.81,1
1751,38,1,1128.93,3
1756,254,1,666.3,1
1757,137,1,794.94,1
1759,85,1,922.11,1
1762,139,1,4314.87,0
1763,133,1,5219.03,0
1764,37,1,1182.76,3
1765,218,3,6114.2,2
1766,70,1,606.83,1
1767,97,1,537.62,1
1770,225,1,678.33,1
1773,72,4,4761.9400000000005,2
1777,258,1,150.84,1
1778,123,1,1006.0,1
1780,230,1,3213.85,0
1781,354,1,752.89,1
1783,34,1,958.94,3
1786,331,2,2626.37,2
1787,348,1,1424.09,0
1788,158,1,632.04,1
1789,307,1,4764.74,0
1795,27,1,527.61,3
1797,200,1,2043.63,0
1798,106,1,3230.25,0
1800,275,1,1153.65,1
1801,166,1,2547.22,0
1802,19,1,1337.24,3
1803,32,1,2206.11,3
1808,152,1,506.2,1
1811,80,2,2675.0099999999998,2
1812,313,1,1980.48,0
1814,315,2,2276.38,2
1815,136,1,1156.8,0
1819,85,1,3192.12,0
1823,187,2,2421.66,2
1825,79,2,2864.42,2
1829,13,1,1398.4,3
1830,4,2,1788.8899999999999,3
1832,16,1,1846.82,3
1834,36,2,1904.63,2
1835,363,1,177.68,1
1837,232,1,343.86,1
1839,332,1,756.53,1
1840,231,2,6283.03,2
1841,306,1,689.02,1
1842,214,2,2288.83,2
1846,262,1,2908.1,0
1851,347,1,5448.2,0
1853,49,2,3799.8199999999997,2
1854,83,2,4694.13,2
1856,278,1,1251.12,0
1861,159,2,6969.4400000000005,2
1862,328,1,787.95,1
1865,112,1,934.29,1
1867,192,1,1414.74,0
1868,186,1,550.28,1
1873,143,1,4479.51,0
1874,254,1,742.85,1
1880,3,1,7776.56,3
1881,115,1,2444.0,0
1885,191,1,773.51,1
1886,205,1,3758.12,0
1889,26,1,3985.24,3
1890,306,1,1673.45,0
1894,336,1,3616.48,0
1899,112,1,3473.2,0
1903,162,1,611.98,1
1908,278,1,619.54,1
1914,229,1,337.89,1
1915,265,1,1722.87,0
1916,95,1,211.63,1
1922,236,1,742.32,1
1923,93,1,2511.84,0
1926,52,3,3901.2299999999996,2
1927,275,1,944.91,1
1929,58,2,2165.5699999999997,2
1930,222,2,1232.25,2
1934,60,2,3780.33,2
1936,109,1,1525.02,0
1937,114,1,450.44,1
1941,227,3,4066.58,2
1943,107,2,5817.66,2
1945,355,1,740.14,1
1946,203,1,442.42,1
1947,221,1,2008.35,0
1948,117,1,3147.14,0
1950,322,1,3595.68,0
1951,26,4,5702.030000000001,2
1953,136,2,4341.24,2
1955,221,1,2123.25,0
1956,166,1,1135.6,1
1957,206,2,2259.73,2
1958,15,2,3011.63,3
1959,313,1,825.0,1
1960,91,2,7002.41,2
1963,258,1,1399.0,0
1965,2,1,1619.46,3
1966,187,1,2704.6,0
1969,116,1,3084.52,0
1971,288,1,1431.76,0
1973,260,2,10467.41,2
1974,141,2,1278.26,2
1977,61,3,6820.77,2
1979,43,1,6200.4,0
1982,104,1,1212.63,0
1985,253,1,4485.96,0
1986,230,1,723.1,1
1987,356,1,564.16,1
1990,98,1,4020.52,0
1993,95,2,756.09,2
1994,178,1,355.84,1
1995,317,1,493.96,1
1996,114,1,3338.77,0
1997,316,1,2431.34,0
2002,144,2,1472.05,2
2004,188,1,315.81,1
2008,196,2,2099.9500000000003,2
2009,191,2,4369.6,2
2013,5,2,1609.31,3
2014,5,1,232.87,3
2017,295,1,325.76,1
2020,98,1,3592.26,0
2025,81,1,407.23,1
2026,14,2,7683.26,2
2027,256,1,1507.9,0
2029,48,1,970.4,3
2030,272,1,415.02,1
2035,256,1,2652.92,0
2036,31,1,522.43,3
2037,349,1,3138.17,0
2039,142,2,1490.94,2
2041,17,2,8680.05,2
2044,271,1,843.44,1
2046,328,1,898.84,1
2048,37,1,1290.46,3
2051,259,1,507.47,1
2053,2,2,1988.96,3
2054,285,1,433.5,1
2055,11,1,213.01,3
2057,301,1,2175.32,0
2058,338,1,1955.16,0
2063,187,1,1665.32,0
2064,60,1,4722.15,0
2066,40,2,2298.8,2
2068,9,1,319.95,3
2069,82,2,2338.08,2
2072,100,2,1600.6,2
2073,75,1,3105.8,0
2074,5,2,5171.09,3
2076,292,1,2587.71,0
2077,297,1,1295.93,0
2078,128,1,482.55,1
2079,3,1,863.97,3
2081,274,1,3992.52,0
2082,219,2,6424.95,2
2089,134,1,679.29,1
2097,85,3,4193.98,2
2106,344,1,539.16,1
2107,351,1,2090.28,0
2113,258,1,1287.54,0
2114,193,1,1299.41,0
2115,39,1,1159.48,3
2116,217,1,545.1,1
2117,178,1,1873.58,0
2119,100,2,1731.77,2
2120,122,1,4068.52,0
2121,102,2,1081.49,2
2123,56,1,414.46,1
2130,269,1,1295.7,0
2131,146,1,648.46,1
2132,150,1,1207.19,0
2135,74,1,390.76,1
2136,238,1,2507.7,0
2140,336,1,3053.3,0
2141,243,1,4993.64,0
2143,75,1,1030.14,1
2144,170,1,251.92,1
2147,88,1,2638.53,0
2151,153,3,7503.79,2
2154,162,1,304.51,1
2155,280,3,5645.68,2
2156,109,2,1314.3600000000001,2
2157,287,2,1499.4299999999998,2
2163,4,2,1255.83,3
2164,78,1,2502.0,0
2165,201,1,1361.19,0
2167,38,2,667.13,3
2169,177,1,633.88,1
2170,193,2,7742.3,2
2176,207,1,563.42,1
2177,255,1,427.52,1
2179,175,1,255.85,1
2180,252,1,1217.97,0
2182,112,1,597.85,1
2183,355,1,2957.16,0
2184,264,1,1473.0,0
2185,132,1,2041.33,0
2189,182,1,3144.92,0
2191,35,1,1446.88,3
2192,135,1,1029.07,1
2193,31,2,2115.64,2
2199,11,2,4552.85,3
2200,121,2,2584.41,2
2201,311,1,2167.5,0
2202,76,2,2080.6000000000004,2
2205,267,1,694.49,1
2207,179,1,348.62,1
2210,134,1,2921.29,0
2215,137,2,4814.959999999999,2
2223,107,1,6708.92,0
2224,212,1,888.29,1
2225,173,1,864.8,1
2226,353,1,4514.0,0
2227,279,1,508.2,1
2228,291,1,1168.78,0
2229,312,1,1940.76,0
2232,319,1,490.58,1
2234,323,1,66.76,1
2236,250,1,802.98,1
2237,166,1,3555.01,0
2240,126,1,2536.47,0
2244,239,1,2059.52,0
2247,281,1,450.13,1
2255,2,2,3328.34,3
2258,144,1,617.2,1
2260,227,2,4882.51,2
2262,24,1,415.06,3
2266,128,1,641.5,1
2275,289,1,767.39,1
2277,245,1,951.32,1
2278,183,1,2229.28,0
2280,234,1,1117.05,1
2281,57,1,1506.42,3
2282,24,1,2032.3,3
2286,104,2,1859.9899999999998,2
2287,104,2,7664.75,2
2288,69,1,2882.34,0
2289,346,1,2204.36,0
2292,279,1,2318.59,0
2294,103,2,1449.48,2
2295,103,1,6400.47,0
2296,207,2,2406.66,2
2297,117,2,2106.12,2
2303,58,1,403.28,1
2307,166,1,1828.44,0
2308,183,1,1523.48,0
2312,227,1,5409.68,0
2314,47,2,2389.71,2
2319,144,1,799.92,1
2324,270,1,632.77,1
2325,102,1,5234.01,0
2327,285,1,354.06,1
2329,25,2,2434.0,2
2335,121,2,3961.23,2
2344,70,2,2970.8500000000004,2
2347,138,2,3007.0,2
2349,111,2,4454.2300000000005,2
2350,14,1,1769.0,3
2355,85,2,2391.05,2
2357,269,1,484.42,1
2359,11,3,10788.55,2
2361,95,1,1184.9,0
2363,334,1,423.72,1
2364,290,1,4331.28,0
2365,317,1,495.65,1
2367,27,1,1637.1,3
2368,220,1,793.74,1
2370,315,1,540.62,1
2375,308,1,3161.86,0
2376,123,1,1353.56,0
2378,167,2,5497.6,2
2381,25,1,869.54,3
2385,181,1,2476.74,0
2387,299,1,643.25,1
2388,39,1,1168.64,3
2390,344,1,1128.06,1
2394,166,1,2244.2,0
2395,280,1,963.64,1
2396,5,2,3426.21,3
2398,96,2,7151.139999999999,2
2399,210,1,256.94,1
2402,132,2,4831.389999999999,2
2405,177,1,1034.52,1
2406,198,1,2242.92,0
2407,105,1,242.01,1
2410,339,1,1982.73,0
2412,24,2,842.66,3
2415,359,1,2792.32,0
2417,113,3,7266.429999999999,2
2418,233,3,3150.91,2
2419,178,1,262.53,1
2421,123,2,4790.17,2
2422,43,3,2554.2200000000003,2
2423,5,2,1721.88,3
2424,42,1,3172.36,3
2425,276,1,1592.51,0
2429,196,1,3957.48,0
2430,141,1,641.88,1
2431,168,2,2341.2799999999997,2
2435,17,2,5916.63,2
2436,95,1,1363.24,0
2438,127,1,4495.8,0
2440,306,1,1616.89,0
2443,44,2,1095.1399999999999,2
2446,303,1,6305.0,0
2448,111,1,3704.66,0
2451,181,2,4754.38,2
2453,217,2,8017.26,2
2455,249,1,2008.08,0
2458,90,1,1843.14,0
2459,40,1,1398.81,3
2460,309,1,634.56,1
2461,256,1,3136.9,0
2462,307,2,3195.4700000000003,2
2465,55,2,1060.6599999999999,2
2466,317,1,1050.38,1
2469,151,2,2834.2,2
2472,96,1,2631.31,0
2474,227,1,2877.06,0
2476,323,1,1014.83,1
2478,60,1,619.42,1
2484,94,1,442.98,1
2486,10,1,986.19,3
2487,286,1,3466.22,0
2488,207,3,2745.75,2
2489,225,1,384.48,1
2490,358,1,1874.09,0
2491,260,1,1057.06,1
2492,330,1,1765.4,0
2494,223,1,174.93,1
2498,328,1,2589.03,0
2501,191,1,289.33,1
2503,220,1,1406.12,0
2506,241,1,5779.33,0
2507,268,1,943.81,1
2509,44,4,9080.46,2
2510,122,1,655.47,1
2511,155,1,3293.65,0
2515,61,2,2717.28,2
2517,268,2,4964.02,2
2519,73,2,1165.01,2
2522,142,1,2041.77,0
2524,307,1,544.2,1
2526,113,2,4137.12,2
2527,70,2,4376.7,2
2528,187,1,325.58,1
2532,346,1,2456.1,0
2533,251,1,3765.61,0
2534,51,1,2291.33,3
2535,41,1,800.73,3
2543,25,1,308.43,3
2546,21,1,5820.69,3
2549,161,2,4126.59,2
2551,248,2,2166.74,2
2556,302,1,4668.81,0
2557,170,1,1406.84,0
2558,13,3,7011.08,2
2559,238,1,3969.94,0
2564,354,1,3319.36,0
2567,220,1,602.4,1
2569,245,1,217.17,1
2572,227,1,1479.39,0
2573,311,1,233.0,1
2574,79,3,8379.22,2
2576,314,1,1934.76,0
2577,247,1,1496.55,0
2583,189,1,473.5,1
2584,307,1,3175.56,0
2585,20,3,10070.72,2
2586,351,1,4102.48,0
2590,192,2,1663.9,2
2591,227,1,3883.94,0
2595,355,1,822.96,1
2596,172,1,425.54,1
2597,163,1,3559.62,0
2599,341,1,2026.4,0
2600,300,1,819.53,1
2601,101,3,2820.4300000000003,2
2602,282,1,5324.58,0
2607,179,2,8590.07,2
2608,362,1,2632.28,0
2611,63,1,868.77,1
2613,71,1,2156.08,0
2615,39,1,1471.45,3
2622,132,1,236.64,1
2629,96,1,372.65,1
2631,126,1,4762.62,0
2632,21,1,631.96,3
2633,97,1,320.26,1
2636,175,1,545.95,1
2644,49,2,3809.29,2
2646,117,2,2113.0499999999997,2
2647,102,1,2839.53,0
2648,153,3,6517.379999999999,2
2649,74,1,1448.16,0
2650,130,1,752.76,1
2656,307,1,1952.0,0
2658,151,1,783.21,1
2659,230,1,3550.06,0
2663,108,2,2529.43,2
2665,130,1,2962.44,0
2666,297,1,180.92,1
2667,61,2,2895.0600000000004,2
2668,158,1,749.17,1
2669,241,1,673.05,1
2671,70,3,7731.25,2
2678,152,1,236.89,1
2680,286,2,4179.96,2
2684,19,2,3029.67,2
2688,31,4,4665.7699999999995,2
2689,63,3,3816.79,2
2690,258,1,557.97,1
2691,47,1,92.11,1
2692,212,1,223.47,1
2693,201,1,1687.28,0
2698,247,1,296.98,1
2701,286,1,3732.45,0
2703,54,1,1355.73,3
2705,363,1,5568.58,0
2707,316,1,731.68,1
2708,109,1,2952.29,0
2710,142,2,1335.5700000000002,2
2711,88,1,1368.76,0
2714,173,1,514.09,1
2716,260,1,2245.98,0
2717,45,2,3890.17,2
2721,104,1,389.03,1
2722,258,1,2545.56,0
2726,270,2,2550.6800000000003,2
2727,83,1,1124.67,1
2728,220,2,2921.7200000000003,2
2730,158,1,518.11,1
2732,73,1,435.85,1
2733,48,1,1231.76,3
2735,54,2,1635.5300000000002,2
2736,92,1,1461.58,0
2737,144,1,1798.58,0
2738,207,2,2302.67,2
2739,246,1,1943.51,0
2740,340,1,476.04,1
2742,359,1,1051.26,1
2743,147,1,765.41,1
2745,354,1,468.55,1
2746,27,1,1431.67,3
2748,314,1,592.78,1
2749,53,1,333.0,1
2751,100,2,8097.55,2
2753,315,2,3799.09,2
2754,102,1,1175.41,0
2755,334,1,1076.95,1
2756,185,2,1468.6,2
2757,27,1,3275.71,3
2758,116,1,587.9,1
2759,36,1,3785.88,3
2760,345,1,2884.8,0
2761,266,1,1030.62,1
2769,134,1,343.64,1
2770,255,2,6422.71,2
2771,64,1,762.26,1
2772,20,1,2171.84,3
2780,237,2,6567.049999999999,2
2783,59,4,6986.240000000001,2
2786,237,1,1198.02,0
2787,202,1,1560.73,0
2788,196,1,707.16,1
2790,139,1,108.44,1
2793,27,1,331.95,3
2794,244,1,4580.96,0
2796,178,1,3518.39,0
2797,184,1,1169.0,0
2798,168,2,4643.15,2
2799,91,3,6504.94,2
2801,118,2,1282.23,2
2802,68,1,2972.79,0
2804,246,1,2572.61,0
2810,183,2,3787.02,2
2811,136,1,2227.05,0
2812,96,1,1791.55,0
2813,325,1,609.45,1
2814,79,2,6410.81,2
2816,69,1,2391.37,0
2817,20,1,1364.4,3
2818,64,2,6011.61,2
2819,56,1,427.93,1
2821,32,3,8288.779999999999,2
2824,85,3,7341.73,2
2829,29,1,643.17,3
2831,217,1,805.68,1
2832,327,1,4980.84,0
2833,343,1,2638.71,0
2835,269,1,941.6,1
2838,40,1,2397.51,3
2840,125,1,1597.05,0
2841,220,1,3929.76,0
2842,57,2,3089.34,2
2845,5,1,1238.5,3
2847,354,1,4613.8,0
2848,129,1,2121.01,0
2855,355,1,2712.04,0
2858,186,1,3152.38,0
2859,76,1,4138.96,0
2863,287,1,924.69,1
2865,319,1,146.24,1
2867,161,1,847.85,1
2869,276,1,454.2,1
2871,239,2,4114.53,2
2875,352,1,930.17,1
2882,290,1,763.25,1
2883,144,1,478.52,1
2884,154,1,617.88,1
2886,146,1,1603.0,0
2887,201,1,1927.85,0
2888,359,1,1966.66,0
2889,201,2,4884.33,2
2891,323,1,1406.27,0
2892,280,1,342.8,1
2894,317,1,2382.92,0
2896,139,1,3365.4,0
2897,202,1,823.77,1
2903,140,1,1175.54,0
2905,324,1,1739.54,0
2908,206,1,3074.4,0
2909,212,1,1826.85,0
2913,190,2,1228.38,2
2914,122,1,461.23,1
2916,267,2,4901.32,2
2919,109,2,1208.96,2
2920,40,1,391.61,1
2924,31,1,907.07,3
2928,100,2,372.48,1
2930,250,1,2868.06,0
2931,118,1,4104.24,0
2932,51,1,790.8,3
2933,4,1,255.36,3
2934,276,1,873.0,1
2935,239,1,2615.72,0
2936,141,3,3655.1000000000004,2
2938,259,1,1864.33,0
2939,15,5,10970.79,2
2940,121,1,262.75,1
2941,132,1,1301.2,0
2944,133,1,629.29,1
2949,147,2,3033.5,2
2950,245,1,7273.84,0
2952,342,1,251.28,1
2955,36,2,5796.3,2
2957,365,1,584.86,1
2960,286,1,1527.31,0
2962,237,1,2069.36,0
2964,231,1,1198.49,0
2967,35,1,821.97,3
2970,291,1,3120.36,0
2971,19,1,2426.64,3
2972,26,1,363.71,3
2973,8,3,5777.7,2
2974,78,1,890.53,1
2976,178,1,1399.04,0
2977,160,1,2622.92,0
2978,138,1,395.35,1
2980,139,2,2601.2,2
2986,307,1,569.71,1
2988,278,2,537.24,1
2990,337,1,299.85,1
2992,7,2,1485.57,3
2993,249,1,934.68,1
2994,138,3,12989.279999999999,2
2995,170,1,736.83,1
3000,189,2,2312.56,2
3002,32,1,1464.6,3
3005,151,1,720.4,1
3009,172,1,1952.78,0
3013,237,1,180.62,1
3015,12,2,3544.8,3
3019,287,1,805.68,1
3020,190,1,707.3,1
3021,105,2,3663.0899999999997,2
3022,335,1,3718.5,0
3024,166,2,2757.8900000000003,2
3027,169,1,1859.91,0
3029,206,1,3623.36,0
3030,353,1,836.96,1
3036,13,2,3871.66,3
3038,31,1,1149.52,3
3045,15,1,1281.66,3
3046,15,1,1960.17,3
3048,211,1,354.54,1
3049,152,2,2610.6,2
3052,180,3,6955.42,2
3057,111,1,2733.19,0
3059,354,1,913.98,1
3061,344,1,3134.76,0
3065,167,1,1164.46,0
3067,280,1,1071.75,1
3068,133,1,887.56,1
3069,52,1,676.4,1
3071,162,1,1649.41,0
3072,51,2,4101.24,2
3073,197,1,4979.55,0
3077,265,1,2031.59,0
3078,114,1,224.83,1
3079,171,1,3527.74,0
3081,272,1,1658.87,0
3087,160,2,967.83,2
3088,344,1,246.29,1
3090,64,1,734.66,1
3092,129,2,7062.030000000001,2
3094,68,1,2375.11,0
3101,339,1,1956.67,0
3105,163,1,821.18,1
3106,93,1,2749.36,0
3107,193,1,1754.48,0
3111,193,1,169.29,1
3113,266,1,1879.1,0
3116,314,2,2318.0699999999997,2
3117,50,1,1065.5,3
3118,211,2,2332.74,2
3119,118,2,4961.79,2
3121,31,2,4383.87,2
3122,198,1,2434.09,0
3123,192,1,403.01,1
3124,98,1,240.26,1
3126,157,1,724.99,1
3128,238,3,2478.08,2
3129,65,1,2074.68,0
3131,34,1,881.86,3
3133,82,1,1733.53,0
3134,120,1,604.0,1
3135,26,2,1976.2,2
3137,220,1,3071.68,0
3139,326,1,2161.92,0
3140,19,2,3433.88,2
3141,342,1,893.18,1
3142,188,2,965.03,2
3144,194,1,2964.06,0
3145,253,1,2348.29,0
3150,175,1,351.11,1
3151,220,1,3652.0,0
3155,2,1,257.28,3
3160,337,1,825.21,1
3162,168,2,5189.4400000000005,2
3166,288,1,165.26,1
3170,6,1,1152.64,3
3173,350,1,1159.81,1
3176,57,1,1004.96,3
3180,230,1,119.71,1
